Word,Definition
gamecock,a rooster trained for cockfighting
gamecock,a fighting cock a rooster used in cockfighting
gamecock,the male game fowl
gamecock,a cock bred from a fighting stock or strain a cock bred and trained for fighting purposes
gamecock,someone who is a very fierce fighter
gamecock,a cock bred and trained for fighting
gamecock,a cock bred and trained for fighting
Nuttall_oak,similar to the pin oak; grows in damp sites in Mississippi River basin
neuroepithelioma,malignant tumor of the neuroepithelium
Niggardliness,"""The quality or state of being niggard; meanness in giving or spending; parsimony; stinginess."""
Tenpenny,"""Valued or sold at ten pence; as  a tenpenny cake. See 2d Penny n."""
Tenpenny,"""Denoting a size of nails. See 1st Penny."""
Compress,"""To press or squeeze together; to force into a narrower compass; to reduce the volume of by pressure; to compact; to condense; as  to compress air or water."""
Compress,"""To embrace sexually."""
Compress,"""A folded piece of cloth  pledget of lint etc. used to cover the dressing of wounds and so placed as by the aid of a bandage to make due pressure on any part."""
lesser_galangal,Chinese perennial with pyramidal racemes of white flowers and pungent aromatic roots used medicinally and as flavoring
go_after,go in search of or hunt for
Esnecy,"""A prerogative given to the eldest coparcener to choose first after an inheritance is divided."""
Novelette,"""A short novel."""
offset_printing,"a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper"
Incorporating,"""of Incorporate"""
Grecism,"""An idiom of the Greek language; a Hellenism."""
reckless,heedless or careless
reckless,headstrong rash
reckless,indifferent to or disregardful of consequences a reckless driver
reckless,careless or heedless headstrong or rash
reckless,indifferent to danger or the consequences
reckless,inattentive to duty careless neglectful indifferent
reckless,rashly negligent utterly careless or heedless
reckless,not recking careless heedless inattentive in a mild sense
reckless,not recking of consequences desperately heedless as from folly passion or perversity impetuously or rashly adventurous
reckless,strong synonyms strong enterprising rash etc
reckless,see adventurous incautious unwary unconcerned indifferent thoughtless
reckless,marked by defiant disregard for danger or consequences
reckless,characterized by careless unconcern
reckless,marked by defiant disregard for danger or consequences; ; -Macaulay
Supposition,"""The act of supposing  laying down imagining or considering as true or existing what is known not to be true or what is not proved."""
Supposition,"""That which is supposed; hypothesis; conjecture; surmise; opinion or belief without sufficient evidence."""
diverted,to turn aside from a course or direction traffic was diverted around the scene of the accident
diverted,to distract my attention was diverted by an argument between motorists
diverted,to entertain by distracting the attention from worrisome thoughts or cares amuse
diverted,see synonyms at amuse
diverted,to turn aside
diverted,to turn aside from a course
diverted,to distract
diverted,to entertain or amuse by diverting the attention
diverted,to turn aside to digress
diverted,to turn aside to digress
diverted,to turn aside to turn off from any course or intended application to deflect
diverted,to turn away from any occupation business or study to cause to have lively and agreeable sensations to amuse to entertain
diverted,to turn aside or away change the direction or course of cause to move or act in a different line or manner as to divert a stream from its bed to divert the mind from its troubles he was diverted from his purpose
diverted,to turn to a different point or end change the aim or destination of draw to another course purpose or destiny
diverted,to turn from customary or serious occupation furnish diversion to amuse entertain
diverted,to subvert destroy
diverted,strong synonyms strong to draw away
diverted,amuse divert entertain etc
diverted,see amuse to delight exhilarate
diverted,to turn aside turn out of one s way digress
diverted,withdraw money and move into a different location often secretly and with dishonest intentions
diverted,turn aside turn away from
diverted,occupy in an agreeable entertaining or pleasant fashion
diverted,send on a course or in a direction different from the planned or intended one
diverted,pleasantly occupied;  -Queen Victoria
fix,to place securely make stable or firm fixed the tent poles in the ground
fix,see synonyms at fasten
fix,to secure to another attach fixing the notice to the board with tacks
fix,to put into a stable or unalterable form tried to fix the conversation in her memory
fix,to make a chemical substance nonvolatile or solid
fix,biology to convert nitrogen into stable biologically assimilable compounds
fix,to kill and preserve a specimen intact for microscopic study
fix,to prevent discoloration of a photographic image by washing or coating with a chemical preservative
fix,to direct steadily fixed her eyes on the road ahead
fix,to capture or hold the man with the long beard fixed our attention
fix,to set or place definitely establish fixed her residence in a coastal village
fix,to determine with accuracy ascertain fixed the date of the ancient artifacts
fix,to agree on arrange fix a time to meet
fix,to assign attribute fixing the blame
fix,to correct or set right adjust fix a misspelling fix the out of date accounts
fix,to restore to proper condition or working order repair fix a broken machine
fix,computer science to convert data from floating point notation to fixed point notation
fix,to make ready prepare fixed the room for the guests fix lunch for the kids fixed himself a milkshake
fix,to spay or castrate an animal
fix,informal to take revenge upon get even with
fix,to influence the outcome or actions of by improper or unlawful means fix a prizefight fix a jury
fix,to direct one s efforts or attention concentrate we fixed on the immediate goal
fix,to become stable or firm harden fresh plaster will fix in a few hours
fix,to be on the verge of to be making preparations for
fix,used in progressive tenses with the infinitive we were fixing to leave without you
fix,the act of adjusting correcting or repairing
fix,informal something that repairs or restores a solution no easy fix for an intractable problem
fix,the position as of a ship or aircraft determined by visual observations with the aid of equipment
fix,a clear determination or understanding a briefing that gave us a fix on the current situation
fix,an instance of arranging a special consideration such as an exemption from a requirement or an improper or illegal outcome especially by means of bribery
fix,a difficult or embarrassing situation a predicament
fix,see synonyms at predicament
fix,slang an amount or dose of something craved especially an intravenous injection of a narcotic
fix,fix up to improve the appearance or condition of refurbish
fix,fix up to provide equip
fix,fix up informal to provide a companion on a date for fixed me up with an escort at the last minute
fix,fix someone s wagon to get revenge on another
fix,a repair or corrective action
fix,a difficult situation a quandary or dilemma
fix,a single dose of an addictive drug administered to a drug user
fix,a prearrangement of the outcome of a supposedly competitive process such as a sporting event a game an election a trial or a bid
fix,a determination of location
fix,fettlings mixture used to line a furnace
fix,to pierce now generally replaced by transfix
fix,to attach to affix to hold in place
fix,to mend to repair
fix,to prepare food
fix,to surgically render an animal especially a pet infertile
fix,to map a point or subset to itself
fix,to take revenge on to best to serve justice on an assumed miscreant
fix,fixed solidified
fix,a position of difficulty or embarassment predicament dilemma
fix,fettling
fix,to become fixed to settle or remain permanently to cease from wandering to rest
fix,to become firm so as to resist volatilization to cease to flow or be fluid to congeal to become hard and malleable as a metallic substance
fix,to make firm stable or fast to set or place permanently to fasten immovably to establish to implant to secure to make definite
fix,to hold steadily to direct unwaveringly to fasten as the eye on an object the attention on a speaker
fix,to transfix to pierce
fix,to render an impression permanent by treating with a developer to make it insensible to the action of light
fix,to put in order to arrange to dispose of to adjust to set to rights to set or place in the manner desired or most suitable hence to repair
fix,to line the hearth of a puddling furnace with fettling
fix,to fasten make fast by some material means attach or confine firmly or securely also used figuratively of immaterial things
fix,figuratively to direct intently or persistently so as to be as it were fastened to its object as to fix the mind on a subject to fix the eyes or the attention
fix,to hold firmly restrain from wandering or wavering arrest as to fix one with the eyes to fix the attention of an audience to fix inconstant affections
fix,to establish give permanence or a permanent character to make permanent confirm
fix,to establish in position or in a situation settle or place stably plant firmly as to fix a lance in rest the fixed stars see fixed
fix,to make stable in consistence or condition reduce from fluidity or volatility to a more permanent state make less volatile or fugitive as cold fixes water in the form of ice to fix colors by a mordant
fix,to reduce to a concrete state seize and put into permanent form as to fix one s thoughts on paper or a conception on canvas
fix,to establish as a fact or a conclusion determine or settle definitely make certain as this event fixed his destiny to fix the meaning of a word
fix,to limit or confine as by custom or practice determine by limitation
fix,to regulate adjust put in order arrange in a suitable or desired manner as to fix one s affairs to fix one s room or one s dress to fix one s self for going out
fix,to bring into a state favorable to one s purpose make sure of as by selection bargain or some selfish inducement as to fix a legislative committee or a jury
fix,to transfix pierce
fix,same as to fix out
fix,to rest settle down or remain permanently cease from wandering
fix,to assume a stable form cease to flow or be fluid congeal become hard and malleable as a metallic substance
fix,fixed established steadfast
fix,solidified
fix,a critical condition a predicament a difficulty a dilemma
fix,surv the operation of determining fixing the position of an unknown point by the three point problem which involves the measurement at the point of the two angles between lines running to three known visible points
fix,restore by replacing a part or putting together what is torn or broken
fix,the act of putting something in working order again
fix,make fixed stable or stationary
fix,make ready or suitable or equip in advance for a particular purpose or for some use event etc
fix,influence an event or its outcome by illegal means
fix,kill preserve and harden tissue in order to prepare for microscopic study
fix,cause to be firmly attached
fix,put something somewhere firmly
fix,take vengeance on or get even
fix,make infertile
fix,something craved especially an intravenous injection of a narcotic drug
