,Word,Definition
0,gamecock,a rooster trained for cockfighting
1,gamecock,a fighting cock a rooster used in cockfighting
2,gamecock,the male game fowl
3,gamecock,a cock bred from a fighting stock or strain a cock bred and trained for fighting purposes
4,gamecock,someone who is a very fierce fighter
5,gamecock,a cock bred and trained for fighting
6,gamecock,a cock bred and trained for fighting
8,neuroepithelioma,malignant tumor of the neuroepithelium
9,niggardliness,the quality or state of being niggard
9,niggardliness, meanness in giving or spending
9,niggardliness, parsimony
9,niggardliness, stinginess.
10,tenpenny,valued or sold at ten pence
10,tenpenny, as  a tenpenny cake. see 2d penny n.
11,tenpenny,denoting a size of nails. see 1st penny.
12,compress,to press or squeeze together
12,compress, to force into a narrower compass
12,compress, to reduce the volume of by pressure
12,compress, to compact
12,compress, to condense
12,compress, as  to compress air or water.
13,compress,to embrace sexually.
14,compress,a folded piece of cloth  pledget of lint etc. used to cover the dressing of wounds and so placed as by the aid of a bandage to make due pressure on any part.
17,esnecy,a prerogative given to the eldest coparcener to choose first after an inheritance is divided.
18,novelette,a short novel.
20,incorporating,of incorporate
21,grecism,an idiom of the greek language
21,grecism, a hellenism.
22,reckless,heedless or careless
23,reckless,headstrong rash
24,reckless,indifferent to or disregardful of consequences a reckless driver
25,reckless,careless or heedless headstrong or rash
26,reckless,indifferent to danger or the consequences
27,reckless,inattentive to duty careless neglectful indifferent
28,reckless,rashly negligent utterly careless or heedless
29,reckless,not recking careless heedless inattentive in a mild sense
30,reckless,not recking of consequences desperately heedless as from folly passion or perversity impetuously or rashly adventurous
31,reckless,strong synonyms strong enterprising rash etc
32,reckless,see adventurous incautious unwary unconcerned indifferent thoughtless
33,reckless,marked by defiant disregard for danger or consequences
34,reckless,characterized by careless unconcern
35,reckless,marked by defiant disregard for danger or consequences
35,reckless, 
35,reckless, -macaulay
36,supposition,the act of supposing  laying down imagining or considering as true or existing what is known not to be true or what is not proved.
37,supposition,that which is supposed
37,supposition, hypothesis
37,supposition, conjecture
37,supposition, surmise
37,supposition, opinion or belief without sufficient evidence.
38,diverted,to turn aside from a course or direction traffic was diverted around the scene of the accident
39,diverted,to distract my attention was diverted by an argument between motorists
40,diverted,to entertain by distracting the attention from worrisome thoughts or cares amuse
41,diverted,see synonyms at amuse
42,diverted,to turn aside
43,diverted,to turn aside from a course
44,diverted,to distract
45,diverted,to entertain or amuse by diverting the attention
46,diverted,to turn aside to digress
47,diverted,to turn aside to digress
48,diverted,to turn aside to turn off from any course or intended application to deflect
49,diverted,to turn away from any occupation business or study to cause to have lively and agreeable sensations to amuse to entertain
50,diverted,to turn aside or away change the direction or course of cause to move or act in a different line or manner as to divert a stream from its bed to divert the mind from its troubles he was diverted from his purpose
51,diverted,to turn to a different point or end change the aim or destination of draw to another course purpose or destiny
52,diverted,to turn from customary or serious occupation furnish diversion to amuse entertain
53,diverted,to subvert destroy
54,diverted,strong synonyms strong to draw away
55,diverted,amuse divert entertain etc
56,diverted,see amuse to delight exhilarate
57,diverted,to turn aside turn out of one s way digress
58,diverted,withdraw money and move into a different location often secretly and with dishonest intentions
59,diverted,turn aside turn away from
60,diverted,occupy in an agreeable entertaining or pleasant fashion
61,diverted,send on a course or in a direction different from the planned or intended one
62,diverted,pleasantly occupied
62,diverted,  -queen victoria
63,fix,to place securely make stable or firm fixed the tent poles in the ground
64,fix,see synonyms at fasten
65,fix,to secure to another attach fixing the notice to the board with tacks
66,fix,to put into a stable or unalterable form tried to fix the conversation in her memory
67,fix,to make a chemical substance nonvolatile or solid
68,fix,biology to convert nitrogen into stable biologically assimilable compounds
69,fix,to kill and preserve a specimen intact for microscopic study
70,fix,to prevent discoloration of a photographic image by washing or coating with a chemical preservative
71,fix,to direct steadily fixed her eyes on the road ahead
72,fix,to capture or hold the man with the long beard fixed our attention
73,fix,to set or place definitely establish fixed her residence in a coastal village
74,fix,to determine with accuracy ascertain fixed the date of the ancient artifacts
75,fix,to agree on arrange fix a time to meet
76,fix,to assign attribute fixing the blame
77,fix,to correct or set right adjust fix a misspelling fix the out of date accounts
78,fix,to restore to proper condition or working order repair fix a broken machine
79,fix,computer science to convert data from floating point notation to fixed point notation
80,fix,to make ready prepare fixed the room for the guests fix lunch for the kids fixed himself a milkshake
81,fix,to spay or castrate an animal
82,fix,informal to take revenge upon get even with
83,fix,to influence the outcome or actions of by improper or unlawful means fix a prizefight fix a jury
84,fix,to direct one s efforts or attention concentrate we fixed on the immediate goal
85,fix,to become stable or firm harden fresh plaster will fix in a few hours
86,fix,to be on the verge of to be making preparations for
87,fix,used in progressive tenses with the infinitive we were fixing to leave without you
88,fix,the act of adjusting correcting or repairing
89,fix,informal something that repairs or restores a solution no easy fix for an intractable problem
90,fix,the position as of a ship or aircraft determined by visual observations with the aid of equipment
91,fix,a clear determination or understanding a briefing that gave us a fix on the current situation
92,fix,an instance of arranging a special consideration such as an exemption from a requirement or an improper or illegal outcome especially by means of bribery
93,fix,a difficult or embarrassing situation a predicament
94,fix,see synonyms at predicament
95,fix,slang an amount or dose of something craved especially an intravenous injection of a narcotic
96,fix,fix up to improve the appearance or condition of refurbish
97,fix,fix up to provide equip
98,fix,fix up informal to provide a companion on a date for fixed me up with an escort at the last minute
99,fix,fix someone s wagon to get revenge on another
100,fix,a repair or corrective action
101,fix,a difficult situation a quandary or dilemma
102,fix,a single dose of an addictive drug administered to a drug user
103,fix,a prearrangement of the outcome of a supposedly competitive process such as a sporting event a game an election a trial or a bid
104,fix,a determination of location
105,fix,fettlings mixture used to line a furnace
106,fix,to pierce now generally replaced by transfix
107,fix,to attach to affix to hold in place
108,fix,to mend to repair
109,fix,to prepare food
110,fix,to surgically render an animal especially a pet infertile
111,fix,to map a point or subset to itself
112,fix,to take revenge on to best to serve justice on an assumed miscreant
113,fix,fixed solidified
114,fix,a position of difficulty or embarassment predicament dilemma
115,fix,fettling
116,fix,to become fixed to settle or remain permanently to cease from wandering to rest
117,fix,to become firm so as to resist volatilization to cease to flow or be fluid to congeal to become hard and malleable as a metallic substance
118,fix,to make firm stable or fast to set or place permanently to fasten immovably to establish to implant to secure to make definite
119,fix,to hold steadily to direct unwaveringly to fasten as the eye on an object the attention on a speaker
120,fix,to transfix to pierce
121,fix,to render an impression permanent by treating with a developer to make it insensible to the action of light
122,fix,to put in order to arrange to dispose of to adjust to set to rights to set or place in the manner desired or most suitable hence to repair
123,fix,to line the hearth of a puddling furnace with fettling
124,fix,to fasten make fast by some material means attach or confine firmly or securely also used figuratively of immaterial things
125,fix,figuratively to direct intently or persistently so as to be as it were fastened to its object as to fix the mind on a subject to fix the eyes or the attention
126,fix,to hold firmly restrain from wandering or wavering arrest as to fix one with the eyes to fix the attention of an audience to fix inconstant affections
127,fix,to establish give permanence or a permanent character to make permanent confirm
128,fix,to establish in position or in a situation settle or place stably plant firmly as to fix a lance in rest the fixed stars see fixed
129,fix,to make stable in consistence or condition reduce from fluidity or volatility to a more permanent state make less volatile or fugitive as cold fixes water in the form of ice to fix colors by a mordant
130,fix,to reduce to a concrete state seize and put into permanent form as to fix one s thoughts on paper or a conception on canvas
131,fix,to establish as a fact or a conclusion determine or settle definitely make certain as this event fixed his destiny to fix the meaning of a word
132,fix,to limit or confine as by custom or practice determine by limitation
133,fix,to regulate adjust put in order arrange in a suitable or desired manner as to fix one s affairs to fix one s room or one s dress to fix one s self for going out
134,fix,to bring into a state favorable to one s purpose make sure of as by selection bargain or some selfish inducement as to fix a legislative committee or a jury
135,fix,to transfix pierce
136,fix,same as to fix out
137,fix,to rest settle down or remain permanently cease from wandering
138,fix,to assume a stable form cease to flow or be fluid congeal become hard and malleable as a metallic substance
139,fix,fixed established steadfast
140,fix,solidified
141,fix,a critical condition a predicament a difficulty a dilemma
142,fix,surv the operation of determining fixing the position of an unknown point by the three point problem which involves the measurement at the point of the two angles between lines running to three known visible points
143,fix,restore by replacing a part or putting together what is torn or broken
144,fix,the act of putting something in working order again
145,fix,make fixed stable or stationary
146,fix,make ready or suitable or equip in advance for a particular purpose or for some use event etc
147,fix,influence an event or its outcome by illegal means
148,fix,kill preserve and harden tissue in order to prepare for microscopic study
149,fix,cause to be firmly attached
150,fix,put something somewhere firmly
151,fix,take vengeance on or get even
152,fix,make infertile
153,fix,something craved especially an intravenous injection of a narcotic drug
154,fix,prepare for eating by applying heat
155,fix,an exemption granted after influence e g money is brought to bear
156,fix,set or place definitely
157,fix,informal terms for a difficult situation
158,fix,a determination of the place where something is
159,fix,decide upon or fix definitely
160,fix,a determination of the place where something is
161,trillachan,the oyster catcher.
164,impugning,of impugn
166,government,the act of governing
166,government, the exercise of authority
