,Word,Definition
317,advantageously,in a manner which provides an advantage in an advantageous manner
318,advantageously,profitably with advantage
319,advantageously,in an advantageous manner with advantage profitably usefully conveniently
320,advantageously,in a manner affording benefit or advantage
321,advantageously,in a manner affording benefit or advantage
322,malformation,ill formation
322,malformation, irregular or anomalous formation
322,malformation, abnormal or wrong conformation or structure.
323,soapwort,a common plant (saponaria officinalis) of the pink family
323,soapwort, -- so called because its bruised leaves  when agitated in water produce a lather like that from soap. called also bouncing bet.
324,vaccinated,to inoculate with a vaccine in order to produce immunity to an infectious disease such as diphtheria or typhus
325,vaccinated,to perform vaccinations or a vaccination
326,vaccinated,treat with a vaccine to produce immunity against a disease
327,vaccinated,to inoculate with the cowpox by means of a virus called vaccine taken either directly or indirectly from cows now generally to administer by injection or otherwise any vaccine with the objective of rendering the recipient immune to an infectious disease
328,vaccinated,one who has been thus immunized by vaccination is said to be vaccinated against a particular disease
329,vaccinated,one may be thus immunized vaccinated also by oral ingestion or inhalation of a vaccine
330,vaccinated,to inoculate with the cowpox by means of vaccine matter or lymph taken directly or indirectly from the cow for the purpose of procuring immunity from smallpox or of mitigating its attack
331,vaccinated,in a general sense to inoculate with the modified virus of any specific disease in order to produce that disease in a mild form or to prevent its attack
332,vaccinated,perform vaccinations or produce immunity in by inoculation
333,vaccinated,having been rendered unsusceptible to a disease
334,contemporary,belonging to the same period of time a fact documented by two contemporary sources
335,contemporary,of about the same age
336,contemporary,current modern contemporary trends in design
337,contemporary,one of the same time or age shelley and keats were contemporaries
338,contemporary,a person of the present age
339,contemporary,from the same time period coexistent in time
340,contemporary,modern of the present age
341,contemporary,someone living at the same time
342,contemporary,any creature living at the same time
343,contemporary,something existing at the same time
344,contemporary,someone of roughly the same age as another
345,contemporary,living occuring or existing at the same time done in or belonging to the same times contemporaneous
346,contemporary,of the same age coeval
347,contemporary,one who lives at the same time with another
348,contemporary,a person of nearly the same age as another
349,contemporary,living existing or occurring at the same time contemporaneous said of persons things or events
350,contemporary,specifically living or existing at the same time with one s self
351,contemporary,of the same age coeval
352,contemporary,one living at the same time with another
353,contemporary,characteristic of the present
354,contemporary,a person of nearly the same age as another
355,contemporary,occurring in the same period of time
356,contemporary,belonging to the present time
357,contemporary,belonging to the present time
359,vagus,wandering
359,vagus, -- applied especially to the pneumogastric nerve.
360,vagus,the vagus  ore pneumogastric nerve.
361,earth-tongue,any club-shaped fungus of the genus geoglossum
362,diminishing,to make smaller or less or to cause to appear so
363,diminishing,to detract from the authority reputation or prestige of
364,diminishing,to cause to taper
365,diminishing,music to reduce a perfect or minor interval by a semitone
366,diminishing,to become smaller or less
367,diminishing,see synonyms at decrease
368,diminishing,to taper
369,diminishing,to make smaller
370,diminishing,to become smaller
371,diminishing,to taper
372,diminishing,to disappear gradually
373,diminishing,to reduce a perfect or minor interval by a semitone
374,diminishing,to become or appear less or smaller to lessen
375,diminishing,to make smaller in any manner to reduce in bulk or amount to lessen opposed to ant augment ant or ant increase ant
376,diminishing,to lessen the authority or dignity of to put down to degrade to abase to weaken
377,diminishing,to make smaller by a half step to make an interval less than minor
378,diminishing,to take away to subtract
379,diminishing,to lessen make or seem to make less or smaller by any means reduce opposed to increase and augment as to diminish a number by subtraction to diminish the revenue by reducing the customs
380,diminishing,to lower in power importance or estimation degrade belittle detract from
381,diminishing,to take away subtract with from and applied to the object removed
382,diminishing,in music to lessen by a semitone as an interval
383,diminishing,to lessen become or appear less or smaller dwindle as the prospect of success is diminishing by delay
384,diminishing,strong synonyms strong dwindle contract etc
385,diminishing,see decrease to shrink subside abate ebb fall off
386,diminishing,to taper as a column
387,diminishing,decrease in size extent or range
388,diminishing,lessen the authority dignity or reputation of
389,diminishing,becoming smaller or less or appearing to do so
390,mad,see synonyms at angry
391,mad,suffering from a disorder of the mind insane
392,mad,temporarily or apparently deranged by violent sensations emotions or ideas mad with jealousy
393,mad,lacking restraint or reason foolish i was mad to have hired her in the first place
394,mad,feeling or showing strong liking or enthusiasm mad about sports
395,mad,marked by extreme excitement confusion or agitation frantic a mad scramble for the bus
396,mad,boisterously gay hilarious had a mad time
397,mad,affected by rabies rabid
398,mad,to make or become mad madden
399,mad,like mad informal wildly impetuously drove like mad
400,mad,like mad informal to an intense degree or great extent worked like mad snowing like mad
401,mad,mad as a hatter crazy deranged
402,mad,insane crazy mentally deranged
403,mad,angry annoyed
404,mad,wildly confused or excited
405,mad,extremely foolish or unwise irrational imprudent
406,mad,extremely enthusiastic about crazy about infatuated with overcome with desire for
407,mad,abnormally ferocious or furious or rabid affected with rabies
408,mad,intensifier signifies an abundance or high quality of a thing very much or many
409,mad,intensifier to a large degree extremely exceedingly very unbelievably
410,mad,to madden to anger to frustrate
411,mad,disordered in intellect crazy insane
412,mad,excited beyond self control or the restraint of reason inflamed by violent or uncontrollable desire passion or appetite
413,mad,proceeding from or indicating madness expressing distraction prompted by infatuation fury or extreme rashness
414,mad,extravagant immoderate
415,mad,furious with rage terror or disease said of the lower animals esp having hydrophobia rabid
416,mad,angry out of patience vexed
417,mad,having impaired polarity applied to a compass needle
418,mad,an earthworm
419,mad,to be mad to go mad to rave
420,mad,to make mad or furious to madden
421,mad,disordered in intellect demented crazy insane said of persons
422,mad,furious from disease or other cause enraged rabid said of animals as a mad dog a mad bull
423,mad,under the influence of some uncontrollable emotion
424,mad,wildly or recklessly frolicsome said of persons or of their acts
425,mad,excited with immoderate curiosity longing admiration or devotion infatuated
426,mad,proceeding from or indicating frenzy prompted by infatuation or fury
427,mad,strong synonyms strong deranged delirious frenzied raging
428,mad,to make mad or furious distract enrage madden
429,mad,to be mad go mad
430,mad,to rage fight madly
431,mad,abbreviations of madam
432,mad,madness intoxication
433,mad,a maggot or grub
434,mad,an obsolete form of made past participle of make
435,mad,very foolish
436,mad,roused to anger
437,mad,affected with madness or insanity
438,mad,marked by uncontrolled excitement or emotion
439,mad,see synonyms at angry
440,mad,suffering from a disorder of the mind insane
441,mad,temporarily or apparently deranged by violent sensations emotions or ideas mad with jealousy
442,mad,lacking restraint or reason foolish i was mad to have hired her in the first place
443,mad,feeling or showing strong liking or enthusiasm mad about sports
444,mad,marked by extreme excitement confusion or agitation frantic a mad scramble for the bus
445,mad,boisterously gay hilarious had a mad time
446,mad,affected by rabies rabid
447,mad,to make or become mad madden
448,mad,like mad informal wildly impetuously drove like mad
449,mad,like mad informal to an intense degree or great extent worked like mad snowing like mad
450,mad,mad as a hatter crazy deranged
451,mad,insane crazy mentally deranged
452,mad,angry annoyed
453,mad,wildly confused or excited
454,mad,extremely foolish or unwise irrational imprudent
455,mad,extremely enthusiastic about crazy about infatuated with overcome with desire for
456,mad,abnormally ferocious or furious or rabid affected with rabies
457,mad,intensifier signifies an abundance or high quality of a thing very much or many
458,mad,intensifier to a large degree extremely exceedingly very unbelievably
459,mad,to madden to anger to frustrate
460,mad,disordered in intellect crazy insane
461,mad,excited beyond self control or the restraint of reason inflamed by violent or uncontrollable desire passion or appetite
462,mad,proceeding from or indicating madness expressing distraction prompted by infatuation fury or extreme rashness
463,mad,extravagant immoderate
464,mad,furious with rage terror or disease said of the lower animals esp having hydrophobia rabid
465,mad,angry out of patience vexed
466,mad,having impaired polarity applied to a compass needle
467,mad,an earthworm
468,mad,to be mad to go mad to rave
469,mad,to make mad or furious to madden
470,mad,disordered in intellect demented crazy insane said of persons
471,mad,furious from disease or other cause enraged rabid said of animals as a mad dog a mad bull
472,mad,under the influence of some uncontrollable emotion
473,mad,wildly or recklessly frolicsome said of persons or of their acts
474,mad,excited with immoderate curiosity longing admiration or devotion infatuated
475,mad,proceeding from or indicating frenzy prompted by infatuation or fury
476,mad,strong synonyms strong deranged delirious frenzied raging
477,mad,to make mad or furious distract enrage madden
478,mad,to be mad go mad
479,mad,to rage fight madly
480,mad,abbreviations of madam
481,mad,madness intoxication
482,mad,a maggot or grub
483,mad,an obsolete form of made past participle of make
484,mad,very foolish
485,mad,roused to anger
486,mad,affected with madness or insanity
487,mad,marked by uncontrolled excitement or emotion
488,mad,roused to anger
488,mad, - mark twain
490,ca,circa
491,ca,circa
492,ca,the chemical symbol for calcium the fifth most abundant element in the earth s crust
493,ca,a scotch contraction of call
494,ca,to drive impel push knock as to ca a man ower over
495,ca,a word of no definite individual meaning occurring in the proverbial phrase ca me ca thee now also claw me claw thee help or serve me and i ll help you
496,ca,an abbreviation of cases
497,ca,of centare
498,ca,see coe
499,ca,a babylonian measure of capacity identified with the hebrew bath or ephah
500,ca,in chem the symbol for calcium
501,ca,in dates a contraction of latin circa about as ca
502,ca,an abbreviation of fellow of the connecticut academy of arts and sciences
503,ca,a state in the western united states on the pacific the largest state known for earthquakes
504,ca,a white metallic element that burns with a brilliant light the fifth most abundant element in the earth s crust an important component of most plants and animals
505,ca,circa
506,ca,circa
507,ca,the chemical symbol for calcium the fifth most abundant element in the earth s crust
508,ca,a scotch contraction of call
509,ca,to drive impel push knock as to ca a man ower over
510,ca,a word of no definite individual meaning occurring in the proverbial phrase ca me ca thee now also claw me claw thee help or serve me and i ll help you
511,ca,an abbreviation of cases
512,ca,of centare
513,ca,see coe
514,ca,a babylonian measure of capacity identified with the hebrew bath or ephah
515,ca,in chem the symbol for calcium
516,ca,in dates a contraction of latin circa about as ca
517,ca,an abbreviation of fellow of the connecticut academy of arts and sciences
518,ca,a state in the western united states on the pacific the largest state known for earthquakes
519,ca,a white metallic element that burns with a brilliant light the fifth most abundant element in the earth s crust an important component of most plants and animals
520,precocious,ripe or mature before the proper or natural time
520,precocious, early or prematurely ripe or developed
520,precocious, as  precocious trees.
521,precocious,developed more than is natural or usual at a given age
521,precocious, exceeding what is to be expected of one's years
521,precocious, too forward
521,precocious, -- used especially of mental forwardness
521,precocious, as  a precocious child
521,precocious, precocious talents.
523,allelomorph,(genetics) either of a pair (or series) of alternative forms of a gene that can occupy the same locus on a particular chromosome and that control the same character
525,menippe,stone crabs
526,toothache,pain in a tooth or in the teeth
526,toothache, odontalgia.
527,uncurrent,not current. specifically: not passing in common payment
527,uncurrent, not receivable at par or full value
527,uncurrent, as  uncurrent notes.
528,basque,a woman s close fitting bodice
529,basque,the part of a waistcoat etc
530,basque,extending below the waist
531,basque,a woman s close fitting bodice having such a feature a corset
532,basque,pertaining to biscay its people or their language
533,basque,one of a race of unknown origin inhabiting a region on the bay of biscay in spain and france
534,basque,the language spoken by the basque people
535,basque,a part of a lady s dress resembling a jacket with a short skirt probably so called because this fashion of dress came from the basques
536,basque,one of a race of unknown origin inhabiting the basque provinces and other parts of spain in the neighborhood of the pyrenees and part of the department of basses pyrénées france
537,basque,the language of the basques supposed to represent the tongue of the ancient iberians the primitive inhabitants of spain
538,basque,pertaining to the basques or their language
539,basque,the short skirt of the body garment worn by both sexes
540,basque,a kind of short skirted jacket worn by women forming the upper part of a dress probably so called because it was worn by the basques
541,basque,a dish of minced mutton mixed with bread crumbs eggs etc seasoned and baked
542,basque,the language of the basque people of no known relation to any other language
543,basque,a member of a people of unknown origin living in the western pyrenees in france and spain
544,basque,a member of a people of unknown origin inhabiting the western pyrenees and the bay of biscay in france and spain
545,basque,the language of the basques of no known linguistic affiliation
546,basque,the language of the basque people
547,basque,a member of a people living in the western pyrenees and the bay of biscay in france and spain
548,basque,relative to the basque people or their language
550,piceous,of or pertaining to pitch
550,piceous, resembling pitch in color or quality
550,piceous, pitchy.
551,disturbed,to break up or destroy the tranquillity or settled state of subterranean fires and deep unrest disturb the whole area rachel carson
552,disturbed,to trouble emotionally or mentally upset
553,disturbed,to interfere with interrupt noise that disturbed my sleep
554,disturbed,to intrude on inconvenience constant calls disturbed her work
555,disturbed,to put out of order disarrange
556,disturbed,to confuse a quiet constant state or a calm continuous flow in particular thoughts actions or liquids
557,disturbed,to divert redirect or alter by disturbing
